AccountName,AccountSource,AnnualRevenue,BillingCountry,CreatedDate,CreatedDate_day_epoch,CreatedDate_sec_epoch,CustomFilter,Id,Industry,LastModifiedDate,LastModifiedDate_day_epoch,LastModifiedDate_sec_epoch,Name,NumberOfEmployees,Owner.FullPhotoUrl,Owner.Name,Owner.Role.DeveloperName,Owner.Role.Hierarchy_RoleNames,Owner.Role.Name,Owner.Role.ParentRole.DeveloperName,Owner.Role.ParentRole.Name,Owner.Role.ParentRoleId,Owner.Role.RoleNames,Owner.Role.RoleNamesPath,Owner.Role.RolePath,Owner.Role.Roles,Owner.SmallPhotoUrl,Owner.UniqueUserName,Owner.UserRoleId,Owner.Username,OwnerId,Type,hasOpportunity,Opportunity.Id,Opportunity.Name,Opportunity.Owner.Name,BillingState
Greer122 Inc,Partner,1000000,Thailand,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHH1QAM,Technology,2021-04-07T22:18:38.000Z,18724,1617833918,Greer122 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Eric Gutierrez,Sales_AMER,CEO,Sales AMER,Sales_WW,Sales WW,00E5Y00000357FJUAY,CEO,Sales_AMER/Sales_WW/CEO,00E5Y00000357FJUAY/00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Eric Gutierrez,00E5Y00000357FKUAY,trailhead5.imexrrpayn1y@example.com,0055Y00000H9zn1QAB,Customer,False,,,,
Stewart123 Inc,Public Relations,1000000,Switzerland,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHH2QAM,Banking,2021-04-07T22:18:38.000Z,18724,1617833918,Stewart123 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Julie Chavez,CIO,CEO,CIO,CEO,CEO,00E5Y00000357FHUAY,CEO,CIO/CEO,00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Julie Chavez,00E5Y00000357FIUAY,trailhead20.wjrcjtiqsuor@example.com,0055Y00000H9zmwQAB,Partner,False,,,,
Frank124 Inc,Web,1000000,Normway,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHH3QAM,Manufacturing,2021-04-07T22:18:38.000Z,18724,1617833918,Frank124 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Catherine Brown,Sales_WW,CEO,Sales WW,CEO,CEO,00E5Y00000357FHUAY,CEO,Sales_WW/CEO,00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Catherine Brown,00E5Y00000357FJUAY,trailhead16.tz2uxywvpvyr@example.com,0055Y00000H9znAQAR,Partner,False,,,,
Burke125 Inc,Web,1000000,Hong Kong,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHH4QAM,Telecommunications,2021-04-07T22:18:38.000Z,18724,1617833918,Burke125 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Johnny Green,Sales_EMEA,CEO,Sales EMEA,Sales_WW,Sales WW,00E5Y00000357FJUAY,CEO,Sales_EMEA/Sales_WW/CEO,00E5Y00000357FJUAY/00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Johnny Green,00E5Y00000357FLUAY,trailhead18.rkpyksh3z1wp@example.com,0055Y00000H9zn9QAB,Customer,False,,,,
Bates126 Inc,Partner,1000000,Korea,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHH5QAM,Healthcare,2021-04-07T22:18:38.000Z,18724,1617833918,Bates126 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Kelly Frazier,Sales_EMEA,CEO,Sales EMEA,Sales_WW,Sales WW,00E5Y00000357FJUAY,CEO,Sales_EMEA/Sales_WW/CEO,00E5Y00000357FJUAY/00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Kelly Frazier,00E5Y00000357FLUAY,trailhead7.itbrkr44equo@example.com,0055Y00000H9zn5QAB,Partner,False,,,,
Nash127 Inc,Word of mouth,1000000,Japan,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHH6QAM,Transportation,2021-04-07T22:18:38.000Z,18724,1617833918,Nash127 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Johnny Green,Sales_EMEA,CEO,Sales EMEA,Sales_WW,Sales WW,00E5Y00000357FJUAY,CEO,Sales_EMEA/Sales_WW/CEO,00E5Y00000357FJUAY/00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Johnny Green,00E5Y00000357FLUAY,trailhead18.rkpyksh3z1wp@example.com,0055Y00000H9zn9QAB,Customer,False,,,,
Morton128 Inc,Web,1000000,Japan,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHH7QAM,Transportation,2021-04-07T22:18:38.000Z,18724,1617833918,Morton128 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Laura Garza,Sales_WW,CEO,Sales WW,CEO,CEO,00E5Y00000357FHUAY,CEO,Sales_WW/CEO,00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Laura Garza,00E5Y00000357FJUAY,trailhead12.tkvqwt7lmieg.geyvqvc77zfc@example.com,0055Y00000H9zmxQAB,Customer,True,0065Y00001WuTnWQAV,Opportunity for Lewis1718,Irene McCoy,
Cruz129 Inc,Trade Show,1000000,Korea,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHH8QAM,Agriculture,2021-04-07T22:18:38.000Z,18724,1617833918,Cruz129 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Nicolas Weaver,Sales_AMER,CEO,Sales AMER,Sales_WW,Sales WW,00E5Y00000357FJUAY,CEO,Sales_AMER/Sales_WW/CEO,00E5Y00000357FJUAY/00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Nicolas Weaver,00E5Y00000357FKUAY,trailhead6.qfuyg1ym27sm@example.com,0055Y00000H9zn2QAB,Customer,False,,,,
Jennings130 Inc,Word of mouth,1000000,Switzerland,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHH9QAM,Apparel,2021-04-07T22:18:38.000Z,18724,1617833918,Jennings130 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Dennis Howard,Sales_EMEA,CEO,Sales EMEA,Sales_WW,Sales WW,00E5Y00000357FJUAY,CEO,Sales_EMEA/Sales_WW/CEO,00E5Y00000357FJUAY/00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Dennis Howard,00E5Y00000357FLUAY,trailhead4.zm5fbgwildwy@example.com,0055Y00000H9zn6QAB,Customer,False,,,,
Rodgers131 Inc,Trade Show,1000000,Italy,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHHAQA2,Manufacturing,2021-04-07T22:18:38.000Z,18724,1617833918,Rodgers131 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Evelyn Williamson,Sales_WW,CEO,Sales WW,CEO,CEO,00E5Y00000357FHUAY,CEO,Sales_WW/CEO,00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Evelyn Williamson,00E5Y00000357FJUAY,trailhead13.n289ndmd2cgy@example.com,0055Y00000H9znBQAR,Customer,False,,,,
Cobb132 Inc,Employee Referral,1000000,Taiwan,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHHBQA2,Apparel,2021-04-07T22:18:38.000Z,18724,1617833918,Cobb132 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Dennis Howard,Sales_EMEA,CEO,Sales EMEA,Sales_WW,Sales WW,00E5Y00000357FJUAY,CEO,Sales_EMEA/Sales_WW/CEO,00E5Y00000357FJUAY/00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Dennis Howard,00E5Y00000357FLUAY,trailhead4.zm5fbgwildwy@example.com,0055Y00000H9zn6QAB,Customer,True,0065Y00001WuTi6QAF,Opportunity for Freeman746,Evelyn Williamson,
Johnston133 Inc,Trade Show,1000000,USA,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHHCQA2,Technology,2021-04-07T22:18:38.000Z,18724,1617833918,Johnston133 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Evelyn Williamson,Sales_WW,CEO,Sales WW,CEO,CEO,00E5Y00000357FHUAY,CEO,Sales_WW/CEO,00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Evelyn Williamson,00E5Y00000357FJUAY,trailhead13.n289ndmd2cgy@example.com,0055Y00000H9znBQAR,Customer,False,,,,OR
Nichols134 Inc,Word of mouth,1000000,Canada,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHHDQA2,Finance,2021-04-07T22:18:38.000Z,18724,1617833918,Nichols134 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Laura Palmer,Sales_EMEA,CEO,Sales EMEA,Sales_WW,Sales WW,00E5Y00000357FJUAY,CEO,Sales_EMEA/Sales_WW/CEO,00E5Y00000357FJUAY/00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Laura Palmer,00E5Y00000357FLUAY,trailhead3.iehsr7a5h2ud@example.com,0055Y00000H9zn7QAB,Customer,True,0065Y00001WuThoQAF,Opportunity for Klein1486,Kelly Frazier,AZ
Larson135 Inc,Partner,1000000,Hong Kong,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHHEQA2,Manufacturing,2021-04-07T22:18:38.000Z,18724,1617833918,Larson135 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Laura Garza,Sales_WW,CEO,Sales WW,CEO,CEO,00E5Y00000357FHUAY,CEO,Sales_WW/CEO,00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Laura Garza,00E5Y00000357FJUAY,trailhead12.tkvqwt7lmieg.geyvqvc77zfc@example.com,0055Y00000H9zmxQAB,Customer,False,,,,
Thompson136 Inc,Web,1000000,Thailand,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHHFQA2,Energy,2021-04-07T22:18:38.000Z,18724,1617833918,Thompson136 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Eric Sanchez,Sales_WW,CEO,Sales WW,CEO,CEO,00E5Y00000357FHUAY,CEO,Sales_WW/CEO,00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Eric Sanchez,00E5Y00000357FJUAY,trailhead2.lwiaq4ybaxox@example.com,0055Y00000H9znDQAR,Customer,True,0065Y00001WuTifQAF,Opportunity for Smith1145,Eric Sanchez,
Ramirez137 Inc,Employee Referral,1000000,Japan,2021-04-07T22:18:38.000Z,18724,1617833918,True,0015Y00002jbHHGQA2,Electronics,2021-04-07T22:18:38.000Z,18724,1617833918,Ramirez137 Inc,5000,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/F,Dennis Howard,Sales_EMEA,CEO,Sales EMEA,Sales_WW,Sales WW,00E5Y00000357FJUAY,CEO,Sales_EMEA/Sales_WW/CEO,00E5Y00000357FJUAY/00E5Y00000357FHUAY,00E5Y00000357FHUAY,https://gmailcomapi-dev-ed--c.documentforce.com/profilephoto/005/T,Dennis Howard,00E5Y00000357FLUAY,trailhead4.zm5fbgwildwy@example.com,0055Y00000H9zn6QAB,Customer,True,0065Y00001WuTgNQAV,Opportunity for Pope310,John Williams,
